name_x,ogrn,short_name,full_name,address_x,website,reg_date,liq_date,status_x,inn,region,okato,oktmo_code,okved,okved_code,okopf,okopf_code,domain_name,registrar,creation_date,expiration_date
"ИПК, ЧОУ ДПО",1131800000584.0,"ЧОУ ДПО ""ИПК""","ЧАСТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""ИНСТИТУТ ПРОБЛЕМ КАЧЕСТВА""","426061, Удмуртская респ., г. Ижевск, ул. Ворошилова, д. 22А",ano-ipk.ru,2013-05-20,,Действующая,1840999206.0,Удмуртская Республика,"Удмуртская Республика, Ижевск, Устиновский",94701000001.0,"Деятельность по дополнительному профессиональному образованию прочая, не включенная в другие группировки",85.42.9,Частные учреждения,75500.0,ANO-IPK.RU,REGRU-RU,2014-12-30 07:30:38,2022-12-30 07:30:38
"ИПМО, ЧУ ДПО",1126700000900.0,"ЧУ ДПО ""ИПМО""","ЧАСТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""ИНСТИТУТ ПОСЛЕДИПЛОМНОГО МЕДИЦИНСКОГО ОБРАЗОВАНИЯ""","214000, Смоленская обл., г. Смоленск, ул. Большая Советская, д. 45/1 кв. 2",noydpo67.ru,2012-12-24,,Действующая,6732014186.0,Смоленская область,"Смоленская область, Смоленск",66701000001.0,Подготовка кадров высшей квалификации,85.23,Частные учреждения,75500.0,NOYDPO67.RU,RU-CENTER-RU,2013-03-04 19:05:28,2023-03-04 20:05:28
"ИПО РЕСПЕКТ, ЧОУ ДПО",1040204216711.0,"ЧОУ ДПО ""ИПО ""РЕСПЕКТ""","ЧАСТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""ИНСТИТУТ ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""РЕСПЕКТ""","450071, Башкортостан респ., г. Уфа, ул. 50 Лет Ссср, д. 48 к. 1 офис",institutrb.ru,2004-07-16,,Действующая,276085040.0,Башкортостан (Республика),"Республика Башкортостан, Уфа, Октябрьский",80701000001.0,Подготовка кадров высшей квалификации,85.23,Частные учреждения,75500.0,INSTITUTRB.RU,BEGET-RU,2017-11-07 12:21:34,2022-11-07 12:21:34
"ИПП ПРОФИ, АНО ДПО",1212300042800.0,"АНО ДПО ""ИПП ""ПРОФИ""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""ИНСТИТУТ ПРОФЕССИОНАЛЬНОЙ ПОДГОТОВКИ ""ПРОФИ""","350004, Краснодарский край, г.о. город Краснодар, г Краснодар, ул Северная, д. 153",ipp-profi.ru,2021-07-23,,Действующая,2308280643.0,Краснодарский край,"Краснодарский край, Краснодар, Западный",3701000001.0,Образование профессиональное дополнительное,85.42,Автономные некоммерческие организации,71400.0,IPP-PROFI.RU,RU-CENTER-RU,2021-11-04 10:55:14,2022-11-04 10:55:14
"ИПП, ЧОУ",1037851055330.0,"ЧОУ ""ИПП""","ЧАСТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""ИНСТИТУТ ПРОБЛЕМ ПРЕДПРИНИМАТЕЛЬСТВА""","190005, г. Санкт-Петербург, ул. Егорова, д. 23А литера А пом. 2-Н офис 202",ippnou.ru,2003-04-01,,Ликвидируется,7826170707.0,Санкт-Петербург,"Санкт-Петербург, Адмиралтейский",40305000000.0,Образование профессиональное дополнительное,85.42,Частные учреждения,75500.0,IPPNOU.RU,RU-CENTER-RU,2004-07-13 20:00:00,2023-07-13 21:00:00
"ИРИС, АНО ЦСОН",1216100025679.0,"АНО ЦСОН ""ИРИС""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ЦЕНТР СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ НАСЕЛЕНИЯ ""ИРИС""","346404, Ростовская обл, г.о. город Новочеркасск, г Новочеркасск, ул Толбухина, д. 36, кв. 68",аноцсон-ирис.рф,2021-09-13,,Действующая,6150101513.0,Ростовская область,"Ростовская область, Новочеркасск",60727000001.0,Предоставление социальных услуг без обеспечения проживания престарелым и инвалидам,88.10,Автономные некоммерческие организации,71400.0,XN----7SBZAWAGAVFG6C.XN--P1AI,R01-RF,2022-03-18 15:01:37,2023-03-18 15:01:37
"ИРК, АНО",1127000001864.0,"АНО ""ИРК""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ИНВЕСТИЦИИ. РАЗВИТИЕ. КОНСАЛТИНГ""","634003, Томская обл., г. Томск, пл. Соляная, д. 6 стр. 8",idc-group.ru,2012-12-21,2020-12-15,Недействующая,7017998855.0,Томская область,"Томская область, Томск",69701000001.0,Исследование конъюнктуры рынка и изучение общественного мнения,73.20,Автономные некоммерческие организации,71400.0,IDC-GROUP.RU,REGRU-RU,2022-04-07 10:55:53,2023-04-07 10:55:53
ИРКУТСКАЯ ОБЛАСТНАЯ ОРГАНИЗАЦИЯ ВСЕРОССИЙСКОГО ЭЛЕКТРОПРОФСОЮЗА; ИРКОО ВЭП,1023800005074.0,ИРКУТСКАЯ ОБЛАСТНАЯ ОРГАНИЗАЦИЯ ВСЕРОССИЙСКОГО ЭЛЕКТРОПРОФСОЮЗА; ИРКОО ВЭП,"ИРКУТСКАЯ ОБЛАСТНАЯ ОРГАНИЗАЦИЯ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ""ВСЕРОССИЙСКИЙ ЭЛЕКТРОПРОФСОЮЗ""","664007, Иркутская обл., г. Иркутск, ул. Декабрьских Событий, д. 88 офис ОФИСЫ 301 302",irkep.ru,1994-12-30,,Действующая,3808020236.0,Иркутская область,"Иркутская область, Иркутск, Куйбышевский",25701000001.0,Деятельность профессиональных союзов,94.20,Профсоюзные организации,20202.0,IRKEP.RU,RU-CENTER-RU,2007-01-08 21:00:00,2023-01-08 21:00:00
ИРКУТСКАЯ ОБЛАСТНАЯ ОРГАНИЗАЦИЯ ГОРНО-МЕТАЛЛУРГИЧЕСКОГО ПРОФСОЮЗА РОССИИ,1023800007439.0,ИРКУТСКАЯ ОБЛАСТНАЯ ОРГАНИЗАЦИЯ ГОРНО-МЕТАЛЛУРГИЧЕСКОГО ПРОФСОЮЗА РОССИИ,ИРКУТСКАЯ ОБЛАСТНАЯ ОРГАНИЗАЦИЯ ГОРНО-МЕТАЛЛУРГИЧЕСКОГО ПРОФСОЮЗА РОССИИ,"664025, Иркутская обл., г. Иркутск, ул. Чудотворская, д. 8 корп. --- офис",gmpr38.ru,1994-04-12,,Действующая,3809011964.0,Иркутская область,"Иркутская область, Иркутск, Кировский",25701000001.0,Деятельность профессиональных союзов,94.20,Профсоюзные организации,20202.0,GMPR38.RU,BEGET-RU,2015-08-08 11:46:06,2023-08-08 11:46:06
"ИРКУТСКИЙ ДЕТСКИЙ ХОСПИС, БФ",1213800021731.0,"БФ ""ИРКУТСКИЙ ДЕТСКИЙ ХОСПИС""","БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""ИРКУТСКИЙ ДЕТСКИЙ ХОСПИС""","664007, Иркутская обл, г.о. город Иркутск, г Иркутск, ул Партизанская, д. 1, помещ. 1",hospice38.ru,2021-10-15,,Действующая,3808274689.0,Иркутская область,"Иркутская область, Иркутск, Кировский",25701000001.0,Деятельность по финансовой взаимопомощи,64.99.6,Благотворительные фонды,70401.0,HOSPICE38.RU,REGRU-RU,2021-11-10 13:27:26,2022-11-10 13:27:26
"ИРКУТСКИЙ СТК РО ДОСААФ РОССИИ ИРКУТСКОЙ ОБЛАСТИ, ПОУ",1023801545723.0,"ПОУ ""ИРКУТСКИЙ СТК"" РО ДОСААФ РОССИИ ИРКУТСКОЙ ОБЛАСТИ","ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ИРКУТСКИЙ СПОРТИВНО-ТЕХНИЧЕСКИЙ КЛУБ"" РЕГИОНАЛЬНОГО ОТДЕЛЕНИЯ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННО-ГОСУДАРСТВЕННОЙ ОРГАНИЗАЦИИ ""ДОБРОВОЛЬНОЕ ОБЩЕСТВО СОДЕЙСТВИЯ АРМИИ, АВИАЦИИ И ФЛОТУ РОССИИ"" ИРКУТСКОЙ ОБЛАСТИ","664009, Иркутская обл., г. Иркутск, ул. Омулевского, д. 33 к. А",irkdosaaf.ru,1992-12-04,,Действующая,3811015878.0,Иркутская область,"Иркутская область, Иркутск, Октябрьский",25701000001.0,Образование профессиональное дополнительное,85.42,Частные учреждения,75500.0,IRKDOSAAF.RU,RU-CENTER-RU,2010-02-26 21:00:00,2023-02-26 21:00:00
"ИРСАН, АГЕНТСТВО",1035009553281.0,"АГЕНТСТВО ""ИРСАН""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""НАУЧНО-КОНСУЛЬТАЦИОННОЕ АГЕНТСТВО ""ИРСАН""","141400, Московская обл., г. Химки, ул. Пролетарская, д. 9 кв. 1",irsan.ru,1999-04-23,2021-06-04,Недействующая,5047031797.0,Московская область,"Московская область, Химки",46783000001.0,Научные исследования и разработки в области общественных и гуманитарных наук,72.20,Автономные некоммерческие организации,71400.0,IRSAN.RU,RU-CENTER-RU,2006-01-30 21:00:00,2023-01-30 21:00:00
"ИРСИД, НОУ ВПО",1025500529669.0,"НОУ ВПО ""ИРСИД""","НЕГОСУДАРСТВЕННОЕ (ЧАСТНОЕ) ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""ИНСТИТУТ РАДИОЭЛЕКТРОНИКИ, СЕРВИСА И ДИАГНОСТИКИ""","644077, Омская обл., г. Омск, проспект Мира, д. 57",irsid.ru,1997-05-23,,Действующая,5502040373.0,Омская область,"Омская область, Омск, Советский",52701000001.0,Образование высшее,85.22,Частные учреждения,75500.0,IRSID.RU,RU-CENTER-RU,2022-06-08 14:02:34,2023-06-08 14:02:34
"ИРЦ ПОРА!, АНО",1191832023789.0,"АНО ""ИРЦ ""ПОРА!""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ИНФОРМАЦИОННО-РЕСУРСНЫЙ ЦЕНТР ""ПОРА!""","426075, Удмуртская респ., г. Ижевск, ул. Союзная, д. 9",ircpora.ru,2019-10-29,,Действующая,1840092295.0,Удмуртская Республика,"Удмуртская Республика, Ижевск, Устиновский",94701000001.0,"Деятельность прочих общественных организаций, не включенных в другие группировки",94.99,Автономные некоммерческие организации,71400.0,IRCPORA.RU,REGRU-RU,2022-05-04 10:37:57,2023-05-04 10:37:57
"ИРЦД РТ, АНО",1191690047922.0,"АНО ""ИРЦД РТ""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ИНФОРМАЦИОННО-РЕСУРСНЫЙ ЦЕНТР ДОБРОВОЛЬЧЕСТВА РЕСПУБЛИКИ ТАТАРСТАН","420126, Татарстан респ., г. Казань, ул. Нигматуллина, д. 5 кв. 6",dobrotatarstan.ru,2019-06-05,,Действующая,1657254500.0,Республика Татарстан,"Республика Татарстан, Казань, Ново-Савиновский",92701000001.0,Деятельность по оказанию консультационных и информационных услуг,63.99.1,Автономные некоммерческие организации,71400.0,DOBROTATARSTAN.RU,RU-CENTER-RU,2021-12-21 05:12:52,2022-12-21 05:12:52
"ИСКОРКА ЗАБОТЫ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1206600059005.0,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""ИСКОРКА ЗАБОТЫ""","БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ПОДДЕРЖКИ ВОЕННОСЛУЖАЩИХ,ЧЛЕНОВ ИХ СЕМЕЙ И ИНЫХ КАТЕГОРИЙ ГРАЖДАН ""ИСКОРКА ЗАБОТЫ""","624790, Свердловская обл., пгт. Свободный, ул. Кузнецова, д. 63 кв. 37",bfiz.ru,2020-10-21,,Действующая,6623135790.0,Свердловская область,"Свердловская область, Свободный",65765000051.0,"Предоставление прочих социальных услуг без обеспечения проживания, не включенных в другие группировки",88.99,Благотворительные фонды,70401.0,BFIZ.RU,REGRU-RU,2022-06-03 10:11:20,2023-06-03 10:11:20
"ИСКРЕННЕЕ СЕРДЦЕ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1217800132770.0,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""ИСКРЕННЕЕ СЕРДЦЕ""","БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""ИСКРЕННЕЕ СЕРДЦЕ""","197136, г. Санкт-Петербург, вн.тер.г. муниципальный округ Аптекарский остров, ул Ленина, д. 29, литера А, кв. 29",bf-is.ru,2021-08-27,,Действующая,7813656497.0,Санкт-Петербург,"Санкт-Петербург, Петроградский, Аптекарский Остров",40392000000.0,"Предоставление прочих социальных услуг без обеспечения проживания, не включенных в другие группировки",88.99,Благотворительные фонды,70401.0,BF-IS.RU,BEGET-RU,2021-10-25 20:09:58,2022-10-25 20:09:58
"ИСОР, ФОНД",1027809231768.0,"ФОНД ""ИСОР""","БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""САНКТ-ПЕТЕРБУРГСКИЙ ИНСТИТУТ ОБЩИННЫХ И СОЦИАЛЬНЫХ РАБОТНИКОВ""","191028, г. Санкт-Петербург, ул. Моховая, д. 20 кв. 5Н",isor.ru,1998-05-22,2018-08-21,Недействующая,7825119345.0,Санкт-Петербург,"Санкт-Петербург, Центральный",40910000000.0,"Предоставление прочих социальных услуг без обеспечения проживания, не включенных в другие группировки",88.99,Благотворительные фонды,70401.0,ISOR.RU,RU-CENTER-RU,2002-10-08 20:00:00,2022-10-08 21:00:00
"ИСРО, АНО ДПО",1215000122633.0,"АНО ДПО ""ИСРО""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""ИНСТИТУТ СОДЕЙСТВИЯ РАЗВИТИЮ ОБРАЗОВАНИЯ""","143362, Московская обл, г.о. Наро-Фоминский, г Апрелевка, ул Жасминовая, д. 3, кв. 201",развитиеобразования.рф,2021-12-02,,Действующая,5030101686.0,Московская область,"Московская область, Наро-Фоминск, Апрелевка",46750000006.0,Образование профессиональное дополнительное,85.42,Автономные некоммерческие организации,71400.0,XN--80AAACECSOEGAG8DIDVI5A3X.XN--P1AI,REGRU-RF,2022-04-07 10:22:01,2023-04-07 10:22:01
"ИССЛЕДОВАЕТЛЬ, ВРО ООД",1143400001140.0,"ВРО ООД ""ИССЛЕДОВАЕТЛЬ""","ВОЛГОГРАДСКОЕ РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ ОБЩЕРОССИЙСКОГО ОБЩЕСТВЕННОГО ДВИЖЕНИЯ ТВОРЧЕСКИХ ПЕДАГОГОВ ""ИССЛЕДОВАТЕЛЬ""","400048, Волгоградская обл., г. Волгоград, проспект Им. Маршала Советского Союза Г.К.Жукова, д. 100 кв. 30",issledovatel.su,2014-03-05,,Действующая,3443104798.0,Волгоградская область,"Волгоградская область, Волгоград, Дзержинский",18701000001.0,"Деятельность прочих общественных организаций, не включенных в другие группировки",94.99,Общественные движения,20210.0,ISSLEDOVATEL.SU,RUCENTER-SU,2018-01-17 08:03:06,2023-01-17 08:03:06
"ИССТЭ, АНО",1196313032376.0,"АНО ""ИССТЭ""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ИНСТИТУТ СУДЕБНОЙ СТРОИТЕЛЬНО-ТЕХНИЧЕСКОЙ ЭКСПЕРТИЗЫ""","445047, Самарская обл., г. Тольятти, шоссе Южное, д. 35-А офис 401",expert763.ru,2019-04-07,,Действующая,6320035282.0,Самарская область,"Самарская область, Тольятти, Автозаводский",36740000001.0,"Деятельность в области инженерных изысканий, инженерно-технического проектирования, управления проектами строительства, выполнения строительного контроля и авторского надзора, предоставление технических консультаций в этих областях",71.12,Автономные некоммерческие организации,71400.0,EXPERT763.RU,TIMEWEB-RU,2019-07-10 18:15:03,2023-07-10 18:15:03
"ИСТОК, АНО ДПО УЦ",1201700000534.0,"АНО ДПО УЦ ""ИСТОК""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""УЧЕБНЫЙ ЦЕНТР ""ИСТОК""","667000, Тыва респ., г. Кызыл, ул. Кочетова, д. 3 кв. 15",gareevaolga.ru,2020-03-16,,Действующая,1701064205.0,Тыва (Республика),"Республика Тыва, Кызыл",93701000001.0,Образование профессиональное дополнительное,85.42,Автономные некоммерческие организации,71400.0,GAREEVAOLGA.RU,REGRU-RU,2021-10-22 03:41:55,2022-10-22 03:41:55
"ИСТОЧНИК ВЕРЫ, БФСИ",1215900019796.0,"БФСИ ""ИСТОЧНИК ВЕРЫ""","БЛАГОТВОРИТЕЛЬНЫЙ ФОНД СОЦИАЛЬНЫХ ИНИЦИАТИВ ""ИСТОЧНИК ВЕРЫ""","614095, Пермский край, г.о. Пермский, г Пермь, ул Мира, д. 5, кв. 46",bfistochnikvery.ru,2021-10-14,,Действующая,5905069777.0,Пермский край,"Пермский край, Пермь, Индустриальный",57701000001.0,"Деятельность прочих общественных организаций, не включенных в другие группировки",94.99,Благотворительные фонды,70401.0,BFISTOCHNIKVERY.RU,REGRU-RU,2021-10-23 05:56:57,2022-10-23 05:56:57
"ИСТОЧНИК ЖИЗНИ, ОБЩЕСТВЕННЫЙ ФОНД",1062202002378.0,"ОБЩЕСТВЕННЫЙ ФОНД ""ИСТОЧНИК ЖИЗНИ""","БАРНАУЛЬСКИЙ ГОРОДСКОЙ ОБЩЕСТВЕННЫЙ БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""ИСТОЧНИК ЖИЗНИ""","656056, Алтайский кр., г. Барнаул, ул. Промышленная, д. 100",nashfond.ru,2006-03-06,2020-06-18,Недействующая,2225075802.0,Алтайский край,"Алтайский край, Барнаул, Центральный",1701000001.0,Торговля оптовая за вознаграждение или на договорной основе,46.1,Благотворительные фонды,70401.0,NASHFOND.RU,SALENAMES-RU,2018-07-25 14:05:24,2023-07-25 14:05:24
"ИСТРИНСКИЙ, НОУ ДПО УКК",1045003052258.0,"НОУ ДПО УКК ""ИСТРИНСКИЙ""","НЕГОСУДАРСТВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ ЧАСТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ УЧЕБНО-КУРСОВОЙ КОМБИНАТ ""ИСТРИНСКИЙ""","143500, Московская обл., г. Истра, ул. Босова, д. 17 кв. 25",ukkistra.ru,2004-03-24,,Действующая,5017054099.0,Московская область,"Московская область, Истра",46733000001.0,Образование профессиональное дополнительное,85.42,Частные учреждения,75500.0,UKKISTRA.RU,R01-RU,2010-04-29 08:12:14,2023-04-29 09:12:14
"ИСЭО , ИСЭО, ИНСТИТУТ СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО ОБРАЗОВАНИЯ, ЧУДПО",1086600001124.0,"ЧУДПО ""ИСЭО"", ИСЭО, ИНСТИТУТ СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО ОБРАЗОВАНИЯ","ЧАСТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""ИНСТИТУТ СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО ОБРАЗОВАНИЯ""","620049, Свердловская обл., г. Екатеринбург, ул. Софьи Ковалевской, д. 3 офис 317",ise-obr.ru,2008-03-14,,Действующая,6670206030.0,Свердловская область,"Свердловская область, Екатеринбург, Кировский",65701000001.0,"Деятельность по дополнительному профессиональному образованию прочая, не включенная в другие группировки",85.42.9,Частные учреждения,75500.0,ISE-OBR.RU,RU-CENTER-RU,2015-02-06 15:00:22,2023-02-06 15:00:22
"ИТ-ЛИФТ, АНО",1205500015610.0,"АНО ""ИТ-ЛИФТ""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ПО РАЗВИТИЮ ИТ-СООБЩЕСТВА ""ИТ-ЛИФТ""","644099, Омская обл., г. Омск, ул. Таубе, д. 5 офис 110",itlft.ru,2020-07-06,,Действующая,5503192690.0,Омская область,"Омская область, Омск, Центральный",52701000001.0,Деятельность в сфере связей с общественностью,70.21,Автономные некоммерческие организации,71400.0,ITLFT.RU,REGTIME-RU,2013-12-02 19:25:07,2022-12-02 20:25:07
"ИТАКО-УЧЕБНЫЙ ЦЕНТР, ЧУ ДПО",1122300000459.0,"ЧУ ДПО ""ИТАКО - УЧЕБНЫЙ ЦЕНТР""","ЧАСТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""ИТАКО - УЧЕБНЫЙ ЦЕНТР""","350047, Краснодарский кр., г. Краснодар, ул. 1-Я Линия, д. 116",итако.рф,2012-01-31,,Действующая,2308980483.0,Краснодарский край,"Краснодарский край, Краснодар, Западный",3701000001.0,Образование профессиональное дополнительное,85.42,Частные учреждения,75500.0,XN--80APHQR.XN--P1AI,REGRU-RF,2018-09-18 15:14:39,2022-09-18 15:14:39
"ИТИД, ЧОУ ВО",1027800525796.0,"ЧОУ ВО ""ИТИД""","ЧАСТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ИНСТИТУТ ТЕЛЕВИДЕНИЯ, БИЗНЕСА И ДИЗАЙНА""","191124, г. Санкт-Петербург, набережная Синопская, д. 64 к. литера А",itid.ru,1997-11-20,2021-08-26,Недействующая,7801098833.0,Санкт-Петербург,"Санкт-Петербург, Центральный",40911000000.0,Образование высшее,85.22,Частные учреждения,75500.0,ITID.RU,ACTIVE-RU,2021-01-20 14:01:06,2023-01-20 14:01:06
"ИТН-ОБРАЗОВАНИЕ, НЧОУ ДПО",1078600000313.0,"НЧОУ ДПО ""ИТН-ОБРАЗОВАНИЕ""","НЕГОСУДАРСТВЕННОЕ ЧАСТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""ИТН-ОБРАЗОВАНИЕ""","628403, Ханты-Мансийский Автономный Округ - Югра, г. Сургут, ул. 50 Лет Влксм, д. 1 офис 613",itn-consult.ru,2007-02-15,2021-10-29,Недействующая,8602025840.0,Тюменская область,"Тюменская область, Сургут",71876000001.0,Образование профессиональное дополнительное,85.42,Частные учреждения,75500.0,ITN-CONSULT.RU,RU-CENTER-RU,2006-10-23 20:00:00,2022-10-23 21:00:00
ИТТ,1025004909115.0,ИТТ,"ОБРАЗОВАТЕЛЬНОЕ ЧАСТНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ИНСТИТУТ ТЕХНОЛОГИИ ТУРИЗМА""","141201, Московская обл., г. Пушкино, ул. Центральная, д. 4А",www.vpoitt.ru,1994-01-05,,Ликвидируется,5038016305.0,Московская область,"Московская область, Пушкино",46758000001.0,Образование высшее,85.22,Частные учреждения,75500.0,VPOITT.RU,RU-CENTER-RU,2018-02-13 14:01:55,2023-02-13 14:01:55
ИТЭП ЧПОУ ИРКУТСКИЙ ТЕХНИКУМ ЭКОНОМИКИ И ПРАВА ЧПОУ ИТЭП,1023801029944.0,ИТЭП ЧПОУ ИРКУТСКИЙ ТЕХНИКУМ ЭКОНОМИКИ И ПРАВА ЧПОУ ИТЭП,ЧАСТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ИРКУТСКИЙ ТЕХНИКУМ ЭКОНОМИКИ И ПРАВА,"664046, Иркутская обл., г. Иркутск, ул. Волжская, д. 14",teip-irk.ru,1994-07-11,,Действующая,3807002636.0,Иркутская область,"Иркутская область, Иркутск, Октябрьский",25701000001.0,Образование профессиональное среднее,85.21,Частные учреждения,75500.0,TEIP-IRK.RU,RU-CENTER-RU,2008-12-14 21:00:00,2022-12-14 21:00:00
"ДЕТСКИЙ ЦЕНТР УТЯТА, НОЧУ",1115000006285.0,"НОЧУ ""ДЕТСКИЙ ЦЕНТР УТЯТА""","НЕГОСУДАРСТВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ ЧАСТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""ДЕТСКИЙ ЦЕНТР УТЯТА""","142700, Московская обл., г. Видное, ул. Радиальная 2-Я, д. 1",utyata-vidnoe.ru,2011-11-17,,Действующая,5003998178.0,Московская область,"Московская область, Сельские населенные пункты, административно подчиненные г Видное",46707000001.0,Образование дополнительное детей и взрослых,85.41,Частные учреждения,75500.0,UTYATA-VIDNOE.RU,REGRU-RU,2013-01-02 14:51:53,2023-01-02 15:51:53
"ДЕТСКИЙ ЦЕНТР ШКОЛА УМНИЦ, ЧОУ ДОД",1072300004842.0,"ЧОУ ДОД ""ДЕТСКИЙ ЦЕНТР ""ШКОЛА УМНИЦ""","ЧАСТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТЕЙ ""ДЕТСКИЙ ЦЕНТР ""ШКОЛА УМНИЦ""","350002, Краснодарский кр., г. Краснодар, ул. Карасунская Набережная, д. 73",umnici.ru,2007-06-18,2017-01-30,Недействующая,2310124659.0,Краснодарский край,"Краснодарский край, Краснодар, Центральный",3701000001.0,Образование дополнительное детей и взрослых,85.41,Частные учреждения,75500.0,UMNICI.RU,SALENAMES-RU,2017-03-15 14:02:42,2023-03-15 14:02:42
"ИЭСК ВЭП, ППО ОАО",1063800023121.0,"ППО ОАО ""ИЭСК"" ВЭП","ПЕРВИЧНАЯ ПРОФСОЮЗНАЯ ОРГАНИЗАЦИЯ ОТКРЫТОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ИРКУТСКАЯ ЭЛЕКТРОСЕТЕВАЯ КОМПАНИЯ"" ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ""ВСЕРОССИЙСКИЙ ЭЛЕКТРОПРОФСОЮЗ""","664033, Иркутская обл., г. Иркутск, ул. Лермонтова, д. 257 офис 517 (Бизнес-центр «Академический»)",iesk-ppo.ru,2006-07-20,,Действующая,3808142322.0,Иркутская область,"Иркутская область, Иркутск, Свердловский",25701000001.0,Деятельность профессиональных союзов,94.20,Профсоюзные организации,20202.0,IESK-PPO.RU,RU-CENTER-RU,2019-12-11 07:39:10,2022-12-11 07:39:10
